# Fotometría NGC 1261 Kravtsov+2010
#
# bs = candidatas a blue stragglers
#
# Xpos   Ypos    Vmag     U-B     B-V     V-I   bs
# pix     pix     mag     mag     mag     mag   
#  
1151.8   798.1  16.624   0.045   0.629   0.750  99
1281.2  1174.9  16.624   0.013   0.357   0.464  99
 989.9  1169.1  16.629   0.017   0.528   0.684  99
 941.5  1234.7  16.630  -0.019   0.501   0.650  99
 942.7  1444.3  16.631   0.016   0.611   0.783  99
1156.7  1026.1  16.631   0.022   0.556   0.687  99
 907.7  1070.4  16.631  -0.010   0.589   0.711  99
1360.5  1345.5  16.636   0.317   0.822   0.928  99
 617.6   500.0  16.636  -0.051   0.640   0.749  99
1269.1   594.7  16.636   0.198   0.840   0.931  99
 891.9  1198.7  16.636   0.296   0.809   0.929  99
 835.6  1084.8  16.639  -0.014   0.571   0.739  99
 940.9  1128.6  16.640   0.276   0.873   0.930  99
 977.1  1223.7  16.645   0.246   0.842   0.949  99
1094.5  1284.5  16.647   0.255   0.832   0.942  99
1177.0  1036.8  16.649   0.349   0.852   0.926  99
1163.5  1168.9  16.650   0.032   0.586   0.716  99
1130.8   945.3  16.651   0.007   0.611   0.734  99
1120.9  1173.6  16.651   0.216   0.822   0.917  99
1054.3  1016.3  16.652   0.279   0.807   0.907  99
1018.0  1179.2  16.652   0.013   0.590   0.766  99
1092.2  1350.0  16.656   0.324   0.825   0.939  99
1243.7  1207.4  16.657   0.027   0.588   0.715  99
1050.5  1116.0  16.663   0.281   0.869   0.909  99
 976.7  1089.2  16.663  99.999  99.999   0.644  99
1148.9  1076.9  16.664   0.033   0.627   0.740  99
 974.4  1368.9  16.665   0.277   0.818   0.944  99
 224.4  2057.4  16.665  -0.003   0.194   0.313  99
1138.5  1306.5  16.666   0.052   0.607   0.759  99
 916.7  1088.9  16.670   0.009   0.577   0.724  99
1055.5  1038.2  16.674   0.266   0.787   0.878  99
1103.1  1141.1  16.676   0.011   0.747   0.824  99
1040.8  1295.0  16.676  -0.003   0.419   0.563  99
1092.9  1275.2  16.678   0.037   0.599   0.754  99
1053.5   998.4  16.679   0.034   0.619   0.738  99
1076.3  1137.1  16.682   0.014   0.415   0.586  99
1307.6  1126.7  16.682   0.023   0.541   0.683  99
1141.1  1075.4  16.683   0.025   0.571   0.710  99
 931.6  1142.4  16.685  -0.027   0.539   0.683  99
1337.1   980.8  16.687   0.295   0.826   0.909  99
1055.5  1147.2  16.689   0.012   0.557   0.906  99
1010.1  1329.3  16.690   0.018   0.567   0.737  99
1006.0  1128.9  16.691  -0.037   0.538   0.686  99
1080.5  1318.0  16.693   0.016   0.584   0.751  99
1214.4   990.2  16.695   0.012   0.556   0.693  99
 894.4  1348.2  16.695  -0.019   0.557   0.726  99
1200.1   812.3  16.698   0.007   0.578   0.704  99
1120.4  1127.5  16.698   0.045   0.593   0.745  99
 946.9  1205.0  16.698   0.001   0.577   0.722  99
 571.8  1695.9  16.701   0.193   0.740   0.797  99
1247.2  1138.1  16.701   0.051   0.597   0.736  99
1028.0  1213.8  16.702   0.020   0.589   0.741  99
1080.9  1048.0  16.702   0.065   0.113   0.281  99
1160.7  1267.2  16.703   0.051   0.605   0.732  99
 985.6  1130.4  16.704   0.016   0.567   0.710  99
 749.3   809.1  16.705  -0.073   0.295   0.453  99
 981.7  1148.7  16.707   0.025   0.076   0.061  99
1017.1   844.0  16.708   0.057   0.161   0.202  99
 922.6  1110.1  16.712  -0.009   0.516   0.647  99
 990.3  1103.3  16.713   0.014   0.612   0.752  99
 952.8  1052.9  16.713   0.075   0.154   0.189  99
 281.9  1298.1  16.713  -0.080   0.593   0.754  99
 904.4   910.8  16.714   0.042   0.190   0.230  99
1068.4  1082.4  16.715  -0.015   0.527   0.686  99
1144.7  1106.6  16.715   0.238   0.844   0.920  99
 458.2   692.7  16.715  -0.050   0.601   0.735  99
 941.8   976.3  16.720  -0.021   0.362   0.455  99
1054.6   863.8  16.721   0.003   0.599   0.736  99
1134.8  1170.6  16.722   0.027   0.600   0.724  99
1417.2   954.9  16.722  -0.015   0.466   0.589  99
 926.3  1379.0  16.723   0.017   0.605   0.764  99
1009.5  1214.1  16.724   0.013   0.589   0.744  99
1280.7  1261.9  16.724   0.021   0.546   0.676  99
1108.1  1245.1  16.726   0.027   0.492   0.649  99
1032.4   959.4  16.726   0.004   0.603   0.721  99
 941.2   984.1  16.727  -0.016   0.425   0.547  99
1124.4   966.1  16.728   0.003   0.576   0.705  99
 696.8  1096.9  16.728   0.184   0.821   0.926  99
1141.8  1211.8  16.728   0.054   0.633   0.750  99
1191.2  1181.9  16.728   0.032   0.553   0.694  99
1008.6  1210.3  16.728  -0.005   0.574   0.732  99
1001.9  1192.8  16.729   0.023   0.553   0.714  99
1249.9   849.4  16.730   0.001   0.500   0.627  99
 911.6  1262.6  16.731   0.015   0.594   0.748  99
1159.8   927.9  16.731   0.033   0.621   0.750  99
1065.7  1542.6  16.732   0.272   0.808   0.936  99
